transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_amount,transaction_hour,transaction_dayname,transaction_weekday,transaction_month,transaction_time_bucket,Day_Type,sales_category
1,1/1/2023,2026-07-22T07:06:11.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,7,Sun,6,Jan,Morning,Weekend,Small Purchase
2,1/1/2023,2026-07-22T07:08:56.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,Sun,6,Jan,Morning,Weekend,Small Purchase
3,1/1/2023,2026-07-22T07:14:04.000Z,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,7,Sun,6,Jan,Morning,Weekend,Small Purchase
4,1/1/2023,2026-07-22T07:20:24.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,7,Sun,6,Jan,Morning,Weekend,Small Purchase
5,1/1/2023,2026-07-22T07:22:41.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,Sun,6,Jan,Morning,Weekend,Small Purchase
6,1/1/2023,2026-07-22T07:22:41.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,7,Sun,6,Jan,Morning,Weekend,Small Purchase
7,1/1/2023,2026-07-22T07:25:49.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,7,Sun,6,Jan,Morning,Weekend,Small Purchase
8,1/1/2023,2026-07-22T07:33:34.000Z,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4,7,Sun,6,Jan,Morning,Weekend,Small Purchase
9,1/1/2023,2026-07-22T07:39:13.000Z,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,7,Sun,6,Jan,Morning,Weekend,Small Purchase
10,1/1/2023,2026-07-22T07:39:34.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,7,Sun,6,Jan,Morning,Weekend,Small Purchase
11,1/1/2023,2026-07-22T07:43:05.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,7,Sun,6,Jan,Morning,Weekend,Small Purchase
12,1/1/2023,2026-07-22T07:44:35.000Z,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,7,Sun,6,Jan,Morning,Weekend,Small Purchase
13,1/1/2023,2026-07-22T07:45:51.000Z,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,3,7,Sun,6,Jan,Morning,Weekend,Small Purchase
14,1/1/2023,2026-07-22T07:48:19.000Z,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,7,Sun,6,Jan,Morning,Weekend,Small Purchase
15,1/1/2023,2026-07-22T07:52:36.000Z,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,6,7,Sun,6,Jan,Morning,Weekend,Small Purchase
16,1/1/2023,2026-07-22T07:59:58.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,7,Sun,6,Jan,Morning,Weekend,Small Purchase
17,1/1/2023,2026-07-22T07:59:58.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,7,Sun,6,Jan,Morning,Weekend,Small Purchase
18,1/1/2023,2026-07-22T08:00:18.000Z,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,8,Sun,6,Jan,Morning,Weekend,Small Purchase
